date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-05-02,2352,9506965,70004370,7.32,7.47,7.23,7.42,0.26,2479,722000,21000,-429,-75
2012-05-03,2352,7052995,52520519,7.45,7.54,7.36,7.4,-0.02,1808,164000,-26056,133,76
2012-05-04,2352,7005180,52379580,7.4,7.58,7.35,7.47,0.07,1569,159000,-2000,1021,-5
2012-05-07,2352,6037789,43943054,7.35,7.4,7.2,7.21,-0.26,1318,-118000,0,-838,159
2012-05-08,2352,3648645,26465841,7.22,7.3,7.22,7.23,0.02,923,259550,0,-260,-55
2012-05-09,2352,3463172,24652283,7.11,7.2,7.07,7.12,-0.11,840,-369000,0,-33,30
2012-05-10,2352,3155012,22431574,7.12,7.19,7.06,7.08,-0.04,759,234370,0,273,51
2012-05-11,2352,4418072,31340305,7.18,7.18,7.04,7.12,0.04,1089,-523963,0,484,-12
2012-05-14,2352,2342940,16629091,7.15,7.15,7.06,7.06,-0.06,627,-33000,0,-318,26
2012-05-15,2352,4148019,29007396,6.98,7.04,6.96,7.02,-0.04,821,108000,16000,43,140
2012-05-16,2352,3780910,26620800,7.02,7.12,6.97,6.98,-0.04,2010,155000,14000,3,26
2012-05-17,2352,6198107,44456379,6.98,7.26,6.98,7.18,0.2,1752,413380,0,209,-62
2012-05-18,2352,6559837,45546183,7.14,7.14,6.78,6.82,-0.36,1697,-413000,0,-146,172
2012-05-21,2352,3116632,21405442,6.82,6.94,6.82,6.82,0.0,785,131309,0,161,-33
2012-05-22,2352,2856044,20018401,7.1,7.1,6.95,6.99,0.17,1289,-204000,0,72,-39
2012-05-23,2352,2339973,16088760,6.99,6.99,6.82,6.85,-0.14,755,170000,0,-121,26
2012-05-24,2352,3468931,23593462,6.86,6.91,6.7,6.74,-0.11,922,200000,0,-202,54
2012-05-25,2352,2173022,14603214,6.75,6.8,6.68,6.68,-0.06,606,41000,35000,-3,29
2012-05-28,2352,1633752,11004463,6.69,6.8,6.66,6.72,0.04,486,73000,0,455,11
2012-05-29,2352,6010513,41800894,6.83,7.09,6.8,7.01,0.29,1440,350000,3000,229,-58
2012-05-30,2352,3302179,22997515,7.01,7.02,6.89,6.95,-0.06,843,-186000,20796,0,-9
2012-05-31,2352,4358373,30430536,6.85,7.15,6.82,7.15,0.2,1011,1680428,0,-518,9
2012-06-01,2352,3856658,27027666,7.14,7.14,6.93,6.93,-0.22,1018,-301719,0,-13,8
2012-06-04,2352,8471233,55233138,6.66,6.79,6.45,6.45,-0.48,1620,-1117000,9000,-593,84
2012-06-05,2352,4260369,28406513,6.6,6.74,6.6,6.63,0.18,1225,1460000,7000,-145,-61
2012-06-06,2352,4664208,31594650,6.73,6.85,6.66,6.85,0.22,1169,1090360,0,-197,-97
2012-06-07,2352,5057601,35217147,7.0,7.05,6.84,6.85,0.0,1204,950776,0,-105,-68
2012-06-08,2352,2086482,14323707,6.85,6.95,6.8,6.85,0.0,569,70279,53000,-194,19
2012-06-11,2352,5269109,37057957,7.0,7.11,6.96,7.05,0.2,1232,521287,19000,831,-31
2012-06-12,2352,2835000,19763000,7.0,7.03,6.93,6.96,-0.09,691,239000,63000,-178,29
2012-06-13,2352,2858125,20064321,7.0,7.06,6.99,7.0,0.04,836,520152,251000,-434,-29
2012-06-14,2352,2441237,17131919,7.0,7.07,6.99,7.0,0.0,633,138871,234000,-378,26
2012-06-15,2352,4455535,31606058,7.03,7.14,7.02,7.11,0.11,1089,955524,0,419,-28
2012-06-18,2352,10169726,74913436,7.26,7.45,7.23,7.37,0.26,2159,203653,0,-20,-53
2012-06-19,2352,5343161,38857259,7.37,7.37,7.16,7.19,-0.18,1198,-1025964,0,-324,23
2012-06-20,2352,3288646,23881840,7.25,7.33,7.22,7.22,0.03,868,-86311,0,219,-24
2012-06-21,2352,3014716,21761877,7.25,7.28,7.16,7.19,-0.03,733,205645,0,-301,23
2012-06-22,2352,2951265,20950877,7.04,7.15,7.04,7.1,-0.09,824,-22695,0,118,67
2012-06-25,2352,1891988,13346076,7.1,7.1,7.02,7.03,-0.07,542,-238000,0,190,3
2012-06-26,2352,3872171,27002851,7.03,7.09,6.92,6.94,-0.09,1635,-757000,-58416,-16,4
