date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-05-02,2371,9634586,78110996,8.0,8.19,7.95,8.17,0.17,2629,764000,5000,1,681
2012-05-03,2371,11538197,94899002,8.23,8.34,8.1,8.1,-0.07,3295,-1465000,-6489,228,-190
2012-05-04,2371,6175699,50348977,8.1,8.22,8.1,8.12,0.02,2011,-319000,-13000,223,89
2012-05-07,2371,9456265,74446061,8.0,8.01,7.82,7.82,-0.3,2364,-5755000,0,1814,-140
2012-05-08,2371,6699562,52393156,7.84,7.89,7.79,7.8,-0.02,1788,-4544000,0,958,-7
2012-05-09,2371,4976111,38412741,7.72,7.79,7.68,7.68,-0.12,1550,-2016000,0,220,191
2012-05-10,2371,5177896,39968309,7.68,7.79,7.68,7.73,0.05,1404,-1598082,0,846,24
2012-05-11,2371,5397712,41119700,7.74,7.74,7.57,7.59,-0.14,1549,-15963,0,-571,36
2012-05-14,2371,5647152,42620674,7.61,7.66,7.46,7.51,-0.08,1291,-1450000,0,688,-32
2012-05-15,2371,7234884,53833948,7.4,7.49,7.37,7.45,-0.06,1255,-1689000,3000,275,-142
2012-05-16,2371,16808073,120653786,7.12,7.33,7.1,7.1,-0.35,3943,-3568000,1000,-735,-796
2012-05-17,2371,7558975,54370580,7.19,7.24,7.13,7.2,0.1,2157,-539000,0,522,330
2012-05-18,2371,11052600,77480250,7.09,7.09,6.99,6.99,-0.21,2244,-3381000,0,-659,-2
2012-05-21,2371,5209643,36599545,6.99,7.08,6.99,7.0,0.01,1382,-754657,0,-222,-142
2012-05-22,2371,8153921,57501716,7.05,7.09,7.0,7.09,0.09,2301,-2971322,0,1230,-42
2012-05-23,2371,15507196,110637786,7.08,7.24,7.04,7.04,-0.05,3354,-4953878,0,1712,-152
2012-05-24,2371,13274194,91752397,7.07,7.11,6.75,6.78,-0.26,2699,-3214455,0,-159,-442
2012-05-25,2371,6703484,45685653,6.81,6.88,6.75,6.87,0.09,1775,-575322,42000,-501,41
2012-05-28,2371,4156035,28454472,6.93,6.93,6.8,6.87,0.0,1529,-844000,2000,227,171
2012-05-29,2371,15889676,112748637,6.93,7.19,6.93,7.14,0.27,2465,-2584174,1000,2720,417
2012-05-30,2371,21212437,149270127,7.15,7.18,6.99,7.01,-0.13,5937,-9481746,-45229,1359,-395
2012-05-31,2371,164515448,1092883113,6.9,6.92,6.52,6.55,-0.46,10506,-67402903,-142149,15855,-541
2012-06-01,2371,25543862,169592192,6.6,6.73,6.56,6.56,0.01,5501,-2692248,-496,498,330
2012-06-04,2371,28030918,172140184,6.39,6.39,6.11,6.11,-0.45,3893,-5566513,2000,-2748,-784
2012-06-05,2371,15837989,98338826,6.16,6.26,6.16,6.2,0.09,2433,-5822462,1000,679,145
2012-06-06,2371,38291064,233055340,6.21,6.21,6.0,6.03,-0.17,6005,-25852360,0,7838,108
2012-06-07,2371,15824718,97112676,6.16,6.22,6.08,6.09,0.06,3020,-18880,0,321,-89
2012-06-08,2371,7790924,47784801,6.19,6.19,6.08,6.1,0.01,2102,-422134,0,-148,70
2012-06-11,2371,10082573,62048271,6.25,6.25,6.09,6.15,0.05,2176,-999145,0,603,58
2012-06-12,2371,5830000,35509140,6.09,6.12,6.07,6.1,-0.05,1257,-1470000,0,878,-12
2012-06-13,2371,10107484,61812328,6.13,6.17,6.08,6.08,-0.02,2024,-2956309,81000,673,98
2012-06-14,2371,19198382,119399980,6.1,6.35,6.08,6.33,0.25,2743,-1498253,84000,6443,213
2012-06-15,2371,27348770,172644479,6.33,6.37,6.26,6.28,-0.05,2655,-507656,1000,-6490,962
2012-06-18,2371,9641572,61040815,6.4,6.4,6.29,6.29,0.01,1515,-108743,0,663,277
2012-06-19,2371,7612142,47765839,6.3,6.31,6.25,6.26,-0.03,987,-1539424,0,-323,1
