date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-05-02,1454,247758,1846701,7.34,7.54,7.34,7.49,-0.02,105,11000,0,44,0
2012-05-03,1454,97630,727548,7.38,7.49,7.38,7.45,-0.04,38,1000,0,5,0
2012-05-04,1454,63000,473560,7.49,7.56,7.49,7.52,0.07,27,-2000,0,28,0
2012-05-07,1454,67885,508027,7.5,7.55,7.46,7.52,0.0,32,-9000,0,17,0
2012-05-08,1454,52100,390785,7.48,7.53,7.47,7.52,0.0,30,-5000,0,42,0
2012-05-09,1454,38100,284369,7.39,7.49,7.39,7.46,-0.06,25,-3000,0,11,0
2012-05-10,1454,60761,456328,7.58,7.58,7.47,7.52,0.06,35,-1000,0,38,0
2012-05-14,1454,69072,507319,7.44,7.52,7.3,7.36,-0.08,20,-1000,0,-1,0
2012-05-15,1454,51956,380750,7.25,7.38,7.25,7.34,-0.02,16,-4000,0,-38,0
2012-05-16,1454,147559,1076839,7.3,7.36,7.25,7.26,-0.08,35,-1000,0,-44,-1
2012-05-17,1454,16003,117021,7.39,7.39,7.27,7.31,0.05,12,-5000,0,1,1
2012-05-18,1454,191498,1387459,7.27,7.29,7.21,7.21,-0.1,47,-9000,0,18,0
2012-05-21,1454,53500,384774,7.22,7.29,7.08,7.2,-0.01,25,-2000,0,8,0
2012-05-22,1454,96237,704458,7.25,7.38,7.25,7.33,0.13,39,-6000,0,61,0
2012-05-23,1454,35454,256920,7.35,7.35,7.11,7.26,-0.07,25,-10000,0,23,0
2012-05-25,1454,193132,1436936,7.3,7.61,7.3,7.38,0.0,55,5000,0,119,0
2012-05-28,1454,76501,564916,7.28,7.47,7.28,7.46,0.08,31,5000,0,30,2
2012-05-30,1454,86002,639784,7.54,7.71,7.31,7.48,0.02,29,-7000,0,-11,0
2012-05-31,1454,56296,413486,7.48,7.5,7.28,7.32,-0.16,35,-2000,0,15,0
2012-06-01,1454,13652,100333,7.35,7.37,7.33,7.33,0.01,17,-250,0,4,0
2012-06-04,1454,46266,332002,7.25,7.31,7.02,7.19,-0.14,27,-3000,0,9,0
2012-06-05,1454,124004,883138,7.1,7.2,7.1,7.18,-0.01,57,-1000,0,30,0
2012-06-08,1454,59674,431464,7.03,7.3,7.03,7.2,0.09,37,-1000,0,20,0
2012-06-12,1454,12000,87720,7.38,7.5,7.2,7.2,-0.09,11,-3000,0,2,0
2012-06-13,1454,20749,152237,7.37,7.48,7.18,7.22,0.02,18,-1050,0,9,0
2012-06-14,1454,18061,129768,7.25,7.28,7.12,7.12,-0.1,13,0,0,-4,0
2012-06-18,1454,60005,432605,7.25,7.29,7.18,7.18,0.0,26,0,0,-26,0
2012-06-27,1454,32263,235718,7.31,7.34,7.28,7.32,0.02,32,-3000,0,-10,0
2012-07-04,1454,94021,695091,7.33,7.42,7.33,7.4,0.07,35,4000,0,21,0
2012-07-05,1454,190054,1411828,7.4,7.47,7.4,7.4,0.0,60,-1000,0,-13,0
2012-07-06,1454,213374,1592824,7.4,7.53,7.4,7.48,0.08,79,-2000,0,1,0
2012-07-09,1454,65025,483225,7.46,7.46,7.42,7.42,-0.06,26,-1000,0,-6,0
2012-07-11,1454,357036,2643197,7.42,7.45,7.37,7.42,0.02,118,-1000,0,-138,0
2012-07-16,1454,229001,1511576,6.5,6.66,6.5,6.53,-0.02,40,3000,0,-81,0
