date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-05-02,1324,60000,740450,12.3,12.45,12.2,12.45,0.15,29,1000,0,-13,0
2012-05-03,1324,24000,296000,12.4,12.45,12.25,12.25,-0.2,16,-1000,0,-4,0
2012-05-04,1324,100000,1223200,12.35,12.4,12.1,12.2,-0.05,39,-1000,0,10,0
2012-05-07,1324,6000,72750,12.05,12.2,12.05,12.1,-0.1,6,-1000,0,0,0
2012-05-08,1324,34466,418238,12.1,12.3,12.0,12.3,0.2,24,-1000,0,0,0
2012-05-09,1324,19000,230000,12.1,12.2,12.1,12.1,-0.2,13,-2000,0,3,0
2012-05-10,1324,3000,36150,12.0,12.1,12.0,12.05,-0.05,3,0,0,0,0
2012-05-11,1324,70000,852300,12.15,12.25,12.0,12.2,0.15,23,-29000,0,0,0
2012-05-15,1324,21000,254200,11.75,12.2,11.75,12.2,0.2,13,-2000,0,-3,0
2012-05-17,1324,14000,169150,12.15,12.15,11.95,12.0,0.0,9,1000,0,-1,0
2012-05-18,1324,40001,472161,11.7,11.95,11.7,11.75,-0.25,17,-1000,0,0,0
2012-05-22,1324,11788,139390,11.85,11.85,11.8,11.85,0.05,7,-2000,0,0,0
2012-05-23,1324,24080,284156,11.8,11.85,11.7,11.85,0.0,16,-6000,0,-1,0
2012-05-29,1324,19000,224700,11.8,11.95,11.7,11.95,0.3,14,3000,0,-1,0
2012-05-30,1324,9000,106050,11.8,11.85,11.7,11.85,-0.1,8,-2000,0,2,0
2012-05-31,1324,31000,363050,11.6,12.15,11.5,11.8,-0.05,20,-3000,0,-5,0
2012-06-04,1324,56000,626200,11.3,11.3,10.85,11.25,-0.25,23,-1000,0,-6,0
2012-06-05,1324,19000,214650,11.45,11.45,11.25,11.35,0.1,9,-1000,0,7,0
2012-06-13,1324,65000,723750,11.15,11.25,11.05,11.05,-0.05,28,2000,0,12,0
2012-06-15,1324,31000,348400,11.35,11.35,11.15,11.2,-0.1,19,-2000,0,5,0
2012-06-22,1324,29049,328162,11.15,11.4,11.15,11.4,0.0,18,3000,0,-5,0
2012-06-25,1324,19025,216135,11.4,11.4,11.35,11.35,-0.05,9,-3000,0,-9,0
2012-07-02,1324,61001,707761,11.5,11.7,11.4,11.6,0.1,33,-1000,0,5,0
2012-07-05,1324,24593,282928,11.55,11.55,11.4,11.45,-0.05,13,-2000,0,-4,0
2012-07-06,1324,7031,80663,11.45,11.5,11.45,11.5,0.05,8,-1000,0,-1,0
2012-07-17,1324,13000,139100,10.75,10.75,10.6,10.75,0.1,8,-5000,0,-4,0
2012-07-18,1324,20231,217670,10.75,10.8,10.7,10.7,-0.05,20,-4000,0,-8,0
2012-07-19,1324,38000,412100,10.8,10.95,10.8,10.9,0.2,11,1000,0,20,0
2012-07-23,1324,9000,97750,10.9,10.9,10.75,10.9,-0.05,8,-3000,0,0,0
2012-07-26,1324,47001,509010,10.65,10.95,10.65,10.9,0.25,24,34000,0,-10,0
2012-07-27,1324,21000,231500,11.0,11.05,11.0,11.05,0.15,20,16000,0,-1,0
2012-07-31,1324,24099,265203,11.0,11.05,11.0,11.05,-0.1,14,11000,0,-8,0
2012-08-07,1324,44300,487379,11.1,11.1,10.95,11.0,-0.05,25,10000,0,7,0
2012-08-08,1324,69000,760100,11.0,11.1,10.95,11.1,0.1,35,8000,0,-9,0
2012-08-10,1324,241000,2690950,11.15,11.35,11.05,11.2,0.1,85,0,0,84,0
2012-08-13,1324,50002,562872,11.35,11.35,11.15,11.15,-0.05,25,1000,0,8,0
2012-08-14,1324,97001,1088711,11.35,11.35,11.2,11.3,0.15,28,5000,0,-35,0
2012-08-15,1324,114000,1305750,11.3,11.65,11.3,11.6,0.3,49,3000,0,30,0
2012-08-16,1324,88000,1012750,11.6,11.65,11.4,11.5,-0.1,40,-6000,0,24,0
