date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-05-02,1527,235634,5011179,21.05,21.6,21.05,21.5,0.45,142,33000,50000,-37,-1
2012-05-03,1527,57703,1232907,21.35,21.45,21.2,21.45,-0.05,41,22000,0,-11,0
2012-05-04,1527,102002,2193892,21.5,21.6,21.35,21.55,0.1,58,-1000,0,-2,0
2012-05-07,1527,96301,2043786,21.5,21.5,21.0,21.35,-0.2,58,-17000,0,-1,0
2012-05-08,1527,85750,1825400,21.35,21.5,21.1,21.4,0.05,47,-10000,0,-18,0
2012-05-09,1527,65247,1388484,21.4,21.4,21.05,21.4,0.0,52,-16000,0,0,0
2012-05-10,1527,91000,1947200,21.55,21.6,21.3,21.35,-0.05,40,-32000,0,-10,0
2012-05-11,1527,176408,3716908,21.0,21.35,20.8,21.35,0.0,75,-27000,0,11,5
2012-05-14,1527,70002,1486144,21.1,21.35,21.1,21.35,0.0,39,1000,0,-3,0
2012-05-15,1527,113003,2395213,21.3,21.4,21.05,21.4,0.05,53,7000,0,-21,-1
2012-05-16,1527,140618,2990049,21.4,21.45,21.15,21.4,0.0,74,-5000,0,-11,1
2012-05-17,1527,206364,4385702,21.4,21.4,21.15,21.4,0.0,104,-24000,0,11,0
2012-05-18,1527,325247,6830523,21.2,21.2,20.85,21.05,-0.35,120,-15000,-70000,6,2
2012-05-21,1527,194751,4059221,21.05,21.05,20.7,21.0,-0.05,101,-6000,0,20,0
2012-05-22,1527,122360,2568027,21.0,21.15,20.8,21.15,0.15,77,-1000,0,-4,-4
2012-05-23,1527,80348,1680620,21.1,21.1,20.8,21.05,-0.1,53,-15000,0,-25,0
2012-05-24,1527,250099,5226425,21.05,21.1,20.7,21.1,0.05,111,-1000,-50000,-37,-4
2012-05-25,1527,66103,1384863,20.8,21.1,20.8,21.0,-0.1,27,-1000,0,-25,1
2012-05-28,1527,124191,2612979,21.0,21.15,20.9,21.1,0.1,45,6000,50000,-7,-1
2012-05-29,1527,441206,9303076,21.1,21.3,20.95,21.15,0.05,193,-355000,0,76,0
2012-05-30,1527,149001,3126671,21.15,21.15,20.9,21.1,-0.05,90,-16000,0,-24,0
2012-05-31,1527,167212,3537154,21.05,21.35,20.85,21.35,0.25,96,11000,0,-5,-10
2012-06-01,1527,147003,3125617,21.35,21.35,21.2,21.3,-0.05,66,-17000,0,4,0
2012-06-04,1527,381100,8003150,21.1,21.15,20.9,21.15,-0.15,140,-24000,-60000,-38,0
2012-06-05,1527,135101,2865651,21.15,21.35,21.1,21.2,0.05,64,-2000,-47000,-5,18
2012-06-06,1527,100773,2141198,21.15,21.35,21.15,21.2,0.0,51,13000,0,-42,0
2012-06-07,1527,93653,1990978,21.3,21.3,21.2,21.25,0.05,45,15000,0,-12,0
2012-06-08,1527,52500,1116847,21.25,21.3,21.2,21.3,0.05,40,6000,0,-10,0
2012-06-11,1527,110100,2370355,21.35,21.7,21.35,21.7,0.4,71,15000,0,-22,-1
2012-06-12,1527,81000,1747450,21.65,21.65,21.45,21.6,-0.1,50,-4000,0,28,1
2012-06-13,1527,159339,3479934,21.65,21.95,21.65,21.95,0.35,92,15000,0,32,0
2012-06-14,1527,202017,4402814,21.75,21.9,21.6,21.8,-0.15,92,12000,0,31,0
2012-06-15,1527,114005,2492210,21.8,21.95,21.8,21.85,0.05,60,21000,0,-18,0
2012-06-18,1527,223425,4907955,22.0,22.3,21.85,21.95,0.1,99,41000,0,-94,0
2012-06-19,1527,70637,1540185,22.0,22.0,21.7,21.9,-0.05,37,6000,0,37,0
2012-06-20,1527,92002,2008192,21.9,21.95,21.7,21.9,0.0,51,9000,-30000,11,0
2012-06-21,1527,127200,2775001,21.7,21.9,21.7,21.9,0.0,46,4000,-30000,74,0
2012-06-22,1527,73003,1586516,21.6,21.9,21.6,21.9,0.0,46,3000,-20000,1,0
2012-06-25,1527,121760,2672620,21.9,22.05,21.75,22.0,0.1,57,-1000,0,66,0
2012-06-26,1527,165102,3636116,22.0,22.1,21.95,22.05,0.05,59,7000,0,46,0
2012-06-27,1527,623054,14153708,22.1,23.05,22.1,22.7,0.65,308,-1000,-9000,95,-6
2012-06-28,1527,90019,2044718,22.9,22.95,22.6,22.6,-0.1,84,29000,0,-4,0
