date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-05-02,3702,6445344,263500164,40.25,41.5,40.25,40.95,1.05,2979,2360000,20000,-412,301
2012-05-03,3702,4458196,183867030,41.1,41.45,41.0,41.0,0.05,1972,2009000,5797,-622,62
2012-05-04,3702,2844556,116355662,41.2,41.2,40.55,40.7,-0.3,1267,116000,-11000,-130,63
2012-05-07,3702,3578754,141881759,40.0,40.0,39.25,39.95,-0.75,1918,-983000,0,6,-3
2012-05-08,3702,2084455,83528516,40.3,40.3,39.8,40.05,0.1,940,799290,0,-134,42
2012-05-09,3702,4052584,160401307,39.9,39.9,39.45,39.5,-0.55,1736,-1259960,0,132,34
2012-05-10,3702,3817538,149553740,39.3,39.65,38.9,38.9,-0.6,1761,-2713501,300000,228,76
2012-05-11,3702,4365846,167687695,38.9,38.9,38.1,38.55,-0.35,2052,-2078689,239000,219,-127
2012-05-14,3702,2972404,115462616,38.55,39.1,38.4,38.8,0.25,1810,288000,250000,-336,-19
2012-05-15,3702,2952401,113816833,38.45,38.8,38.4,38.45,-0.35,1535,-2004000,208000,453,137
2012-05-16,3702,4248839,160689434,38.45,38.55,37.2,37.2,-1.25,2557,-1883000,-9000,359,-11
2012-05-17,3702,2210537,83159152,37.9,37.9,37.35,37.75,0.55,1305,-76000,0,97,-13
2012-05-18,3702,5392878,198016511,37.1,37.1,36.3,36.35,-1.4,2581,-2181000,-43000,-194,-59
2012-05-21,3702,2737403,100332228,36.6,36.85,36.5,36.65,0.3,1136,200000,-711000,37,-364
2012-05-22,3702,19563490,698428952,36.35,36.7,34.55,36.4,-0.25,6570,-840230,-384000,-81,-269
2012-05-23,3702,4526163,161991666,36.3,36.3,35.2,35.4,-1.0,2137,-1646180,-416000,16,287
2012-05-24,3702,4471443,156937055,35.4,35.8,34.6,34.95,-0.45,1665,-1120000,-817000,374,126
2012-05-25,3702,3370130,116004860,35.2,35.25,34.1,34.15,-0.8,1554,36000,-429000,331,-12
2012-05-28,3702,1797155,61541017,34.2,34.6,33.65,34.5,0.35,896,-362540,0,-63,161
