date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-05-02,2102,665060,10132211,14.9,15.45,14.9,15.45,0.6,300,88000,10000,90,-1
2012-05-03,2102,392888,6038593,15.45,15.45,15.2,15.3,-0.15,118,34000,0,-35,0
2012-05-04,2102,1015967,15906368,15.25,15.9,15.25,15.8,0.5,318,-4000,-1000,141,0
2012-05-07,2102,455238,7040113,15.6,15.6,15.4,15.5,-0.3,109,-49000,0,-14,0
2012-05-08,2102,375693,5774961,15.5,15.55,15.25,15.35,-0.15,127,-11000,0,-49,0
2012-05-09,2102,253762,3861701,15.35,15.35,15.15,15.15,-0.2,106,-31000,0,1,0
2012-05-10,2102,525493,7963940,14.9,15.25,14.9,15.25,0.1,96,13000,0,32,-2
2012-05-11,2102,248645,3773675,15.3,15.35,15.05,15.1,-0.15,100,-35000,0,-33,0
2012-05-14,2102,402490,6126150,15.05,15.35,15.05,15.1,0.0,93,-35000,0,128,0
2012-05-15,2102,285833,4310523,15.0,15.2,14.95,15.2,0.1,85,1000,7000,62,0
2012-05-16,2102,617361,9387122,15.3,15.35,15.0,15.0,-0.2,120,-18000,0,226,0
2012-05-17,2102,501668,7551299,15.0,15.1,14.95,15.1,0.1,121,-18000,0,27,0
2012-05-18,2102,551405,8144568,15.0,15.0,14.6,14.6,-0.5,182,-63000,0,-113,0
2012-05-21,2102,630164,9135464,14.0,14.75,14.0,14.5,-0.1,155,9000,0,73,0
2012-05-22,2102,441913,6479374,14.85,14.85,14.55,14.7,0.2,140,5000,0,40,-13
2012-05-23,2102,341760,4980916,14.7,14.7,14.45,14.6,-0.1,110,-25000,-1000,64,3
2012-05-24,2102,494231,7113554,14.6,14.6,14.1,14.2,-0.4,131,50000,0,-17,11
2012-05-25,2102,312865,4455339,14.3,14.4,14.15,14.15,-0.05,85,3000,0,65,0
2012-05-28,2102,401495,5708975,14.15,14.3,14.15,14.25,0.1,87,18000,0,-38,-3
2012-05-29,2102,701891,10330369,14.3,14.9,14.3,14.9,0.65,206,26000,2000,48,0
2012-05-30,2102,410726,6018865,14.85,14.85,14.55,14.6,-0.3,137,-53000,0,-47,5
2012-05-31,2102,206839,3025349,14.6,14.85,14.45,14.85,0.25,129,24000,0,-8,0
2012-06-01,2102,235804,3442871,14.8,14.8,14.45,14.45,-0.4,107,-21575,0,29,0
2012-06-04,2102,1145899,15945792,14.0,14.15,13.75,13.8,-0.65,268,-5000,4000,47,0
2012-06-05,2102,676715,9711248,14.0,14.6,14.0,14.3,0.5,224,58000,2000,-23,0
2012-06-06,2102,474788,6831132,14.3,14.55,14.3,14.45,0.15,112,19000,0,175,0
2012-06-07,2102,389978,5657129,14.6,14.6,14.35,14.35,-0.1,127,14000,0,38,-2
2012-06-08,2102,192290,2769764,14.55,14.55,14.25,14.25,-0.1,74,-8000,0,7,0
2012-06-11,2102,305822,4419698,14.4,14.55,14.35,14.4,0.15,107,37000,0,21,-5
2012-06-12,2102,388000,5579600,14.3,14.5,14.3,14.4,0.0,133,-17000,0,15,7
2012-06-13,2102,145263,2100443,14.3,14.5,14.3,14.5,0.1,99,53000,6000,-37,0
2012-06-14,2102,246124,3577394,14.5,14.6,14.4,14.55,0.05,150,18000,2000,19,0
2012-06-15,2102,255920,3738928,14.55,14.7,14.55,14.65,0.1,143,86000,0,-12,0
2012-06-18,2102,1783001,26871865,14.75,15.3,14.75,15.1,0.45,545,64000,0,-164,0
2012-06-19,2102,408894,6083222,14.95,15.0,14.75,14.85,-0.25,166,-9000,0,100,0
2012-06-20,2102,319553,4767326,14.85,15.0,14.8,14.95,0.1,156,3000,0,-111,0
2012-06-21,2102,746126,11140557,15.0,15.05,14.85,14.95,0.0,179,13000,0,-24,0
2012-06-22,2102,235674,3509941,14.9,15.0,14.7,14.95,0.0,113,-13000,0,-16,0
2012-06-25,2102,176403,2629037,14.8,15.0,14.8,15.0,0.05,91,-1000,0,-6,0
2012-06-26,2102,262499,3910642,14.95,15.05,14.8,14.85,-0.15,190,55000,-15000,-53,0
2012-06-27,2102,189434,2820730,14.85,15.0,14.85,14.85,0.0,79,18000,0,-21,0
2012-06-28,2102,276224,4103525,14.85,15.0,14.8,14.8,-0.05,124,56358,-4000,-89,-1
2012-06-29,2102,407447,6091655,14.9,15.0,14.9,15.0,0.2,183,96358,0,-12,-2
2012-07-02,2102,569165,8583377,15.05,15.2,15.0,15.05,0.05,180,42000,-1000,-131,0
2012-07-03,2102,672903,10249580,15.05,15.4,15.05,15.2,0.15,234,68000,2000,-180,2
2012-07-04,2102,389693,5983876,15.25,15.4,15.2,15.4,0.2,155,21000,0,-63,0
2012-07-05,2102,397938,6081653,15.45,15.45,15.15,15.25,-0.15,141,23000,-1000,-4,0
2012-07-06,2102,438152,6585607,15.2,15.2,14.9,14.95,-0.3,179,32000,0,-85,0
2012-07-09,2102,367236,5491289,14.8,15.2,14.8,14.85,-0.1,182,2000,-19000,-83,0
2012-07-10,2102,533513,7951662,15.0,15.0,14.8,14.8,-0.05,158,27000,0,88,0
2012-07-11,2102,305110,4519476,14.8,14.9,14.7,14.8,0.0,133,41000,0,-110,0
2012-07-12,2102,301707,4473812,14.85,14.95,14.7,14.8,0.0,97,3000,0,17,1
2012-07-13,2102,375887,5543098,14.8,14.85,14.7,14.7,-0.1,122,19000,0,-146,0
2012-07-16,2102,133127,1958750,14.7,14.85,14.65,14.7,0.0,76,3000,0,1,-10
2012-07-17,2102,250352,3690338,14.7,14.8,14.65,14.75,0.05,87,20000,-58000,54,0
2012-07-18,2102,602148,8929871,14.8,15.0,14.7,14.75,0.0,155,1000,0,-1,0
2012-07-19,2102,328064,4864392,14.8,14.9,14.75,14.85,0.1,124,70000,0,-49,0
2012-07-20,2102,301344,4472616,14.85,14.9,14.8,14.8,-0.05,96,3000,0,-7,0
2012-07-23,2102,371916,5459672,14.8,14.8,14.6,14.65,-0.15,100,-3000,0,93,0
2012-07-24,2102,266288,3891701,14.6,14.7,14.55,14.65,0.0,103,-3000,0,-109,40
2012-07-25,2102,222521,3268906,14.6,14.8,14.55,14.75,0.1,132,-52000,0,26,0
2012-07-26,2102,315815,4666073,14.65,14.9,14.65,14.8,0.05,173,6000,0,-55,0
2012-07-27,2102,731641,10849043,14.95,14.95,14.8,14.8,0.0,245,8000,0,-127,0
2012-07-30,2102,3334003,50189045,14.85,15.15,14.85,15.05,0.25,794,15000,0,-133,0
2012-07-31,2102,6225748,91088426,14.3,14.95,14.15,14.7,0.0,1801,242000,0,583,-80
2012-08-01,2102,1087179,15910420,14.5,14.75,14.5,14.7,0.0,526,-10000,0,-107,34
2012-08-03,2102,962320,14038303,14.7,14.8,14.45,14.55,-0.15,355,-33000,0,23,4
2012-08-06,2102,2230971,33210909,14.9,15.05,14.7,14.95,0.4,679,-13000,0,441,-3
2012-08-07,2102,1268325,18880764,14.95,15.0,14.8,14.9,-0.05,344,-70000,0,-236,2
2012-08-08,2102,730207,10880656,15.0,15.0,14.75,14.85,-0.05,250,48000,0,23,-2
2012-08-09,2102,2888675,44158878,14.8,15.45,14.8,15.45,0.6,963,-83000,18000,-243,-11
2012-08-10,2102,2121554,32727497,15.45,15.8,15.15,15.8,0.35,584,-57000,0,394,-1
2012-08-13,2102,4080713,65670629,15.6,16.5,15.5,16.5,0.7,1159,-77000,0,1234,-85
2012-08-14,2102,15101704,266458236,17.65,17.65,17.55,17.65,1.15,2578,98000,0,-156,-242
2012-08-15,2102,10400278,185591733,17.95,18.0,17.55,17.9,0.25,3321,-140000,94000,-995,-117
2012-08-16,2102,9234951,172142949,17.9,19.1,17.8,18.9,1.0,3180,30000,0,799,-412
2012-08-17,2102,4456248,83556359,18.9,19.1,18.55,18.55,-0.35,1471,-143000,0,368,96
2012-08-20,2102,3281939,60148627,18.55,18.55,18.2,18.3,-0.25,1065,173000,0,388,236
2012-08-21,2102,10341006,198898214,19.4,19.55,18.9,19.1,0.8,2976,-2000,0,1189,-585
2012-08-22,2102,4069479,77820209,18.9,19.25,18.9,19.2,0.1,1292,-175000,0,-343,193
2012-08-23,2102,3068081,58642339,19.2,19.25,19.0,19.05,-0.15,1071,151000,0,-12,109
2012-08-24,2102,7452025,145897345,19.0,19.95,19.0,19.6,0.55,2492,84000,0,650,-48
2012-08-27,2102,2679340,52133838,19.8,19.8,19.2,19.5,-0.1,1114,-75000,0,-134,102
2012-08-28,2102,3405726,65647108,19.5,19.65,19.0,19.1,-0.4,1377,140000,0,-545,105
2012-08-29,2102,2962794,57021406,19.0,19.45,19.0,19.15,0.05,900,-10000,0,337,-83
2012-08-30,2102,3514254,67774620,18.95,19.6,18.8,19.3,0.15,1187,18000,0,182,34
2012-08-31,2102,2390104,45774164,19.25,19.3,18.9,19.15,-0.15,589,204000,0,-59,52
