date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-05-02,6505,2433622,221739212,91.5,91.8,90.3,91.7,0.8,1501,632100,75000,-17,4
2012-05-03,6505,1544923,140547427,91.7,92.0,90.4,91.0,-0.7,1057,-56400,-53559,19,-3
2012-05-04,6505,2227659,201151235,91.0,91.0,90.0,90.4,-0.6,1071,236167,-506000,6,4
2012-05-07,6505,2691612,234046944,88.5,89.0,86.4,86.5,-3.9,1823,-1327000,-400000,155,36
2012-05-08,6505,1842614,159951637,86.5,87.5,86.4,87.2,0.7,1087,-440400,-196000,8,5
2012-05-09,6505,2653994,228584778,86.7,87.3,85.2,87.0,-0.2,1701,-1295000,0,26,-22
2012-05-10,6505,1087836,95833604,86.7,89.0,86.7,89.0,2.0,845,586283,-26000,-81,-15
2012-05-11,6505,1405080,122468603,88.0,88.1,86.5,87.5,-1.5,942,-618251,6000,43,2
2012-05-14,6505,841620,72847849,86.5,87.2,86.1,86.8,-0.7,502,-494000,0,17,0
2012-05-15,6505,1751411,153306605,86.3,88.6,85.8,88.6,1.8,1062,121700,56000,-85,-4
2012-05-16,6505,3433388,294744065,87.2,88.3,85.0,85.0,-3.6,1999,-2035429,-226000,218,38
2012-05-17,6505,1735848,148516452,86.4,86.6,85.0,85.7,0.7,1129,-420000,71000,-96,7
2012-05-18,6505,2884719,238941005,84.1,84.1,82.0,83.1,-2.6,1677,-1465000,8000,54,-16
2012-05-21,6505,1130680,94036772,82.0,83.6,82.0,83.2,0.1,619,-503556,0,-23,19
2012-05-22,6505,1377956,114557813,83.4,83.7,82.5,83.5,0.3,796,-686000,-20000,42,-5
2012-05-23,6505,2136836,176471304,83.2,83.5,82.0,82.5,-1.0,1184,-1491429,-45000,2,-29
2012-05-24,6505,1372719,114021933,82.5,83.6,82.5,83.4,0.9,777,-339000,0,-46,-3
2012-05-25,6505,1022945,85364397,82.6,84.0,82.6,84.0,0.6,716,280000,-1000,-37,-19
2012-05-28,6505,688578,57761292,83.5,84.5,83.2,83.9,-0.1,436,-13000,0,-14,0
2012-05-29,6505,1481624,125435485,83.7,86.0,83.2,85.9,2.0,1018,435000,-206000,-10,45
2012-05-30,6505,3670877,308085026,85.0,85.0,83.2,83.4,-2.5,1867,-620790,-34412,52,-21
2012-05-31,6505,3480255,283743665,82.6,82.6,80.7,81.5,-1.9,1614,-1202459,-80000,74,-10
2012-06-01,6505,1558874,127139910,81.5,82.2,80.6,82.0,0.5,908,-405823,-94000,-52,-29
