date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2013-05-21,2429,38444,1715658,44.85,44.85,42.0,42.0,0.05,38,10000,0,1,0
2013-11-04,2429,66000,1323850,18.6,20.4,18.6,20.2,0.7,28,0,0,0,0
2013-11-05,2429,18024,354006,20.3,20.3,19.35,19.95,-0.25,12,0,0,0,0
2013-11-06,2429,4000,77200,19.2,20.0,18.95,20.0,0.05,4,0,0,0,0
2013-11-28,2429,9000,169100,18.6,19.0,18.5,19.0,-0.25,7,-1000,0,0,0
2013-12-16,2429,137000,2302800,16.05,17.0,15.9,17.0,-0.05,20,0,0,0,0
2013-12-17,2429,47009,792793,17.0,17.8,16.25,17.3,0.3,28,0,0,0,0
2013-12-20,2429,11000,170950,15.55,16.0,15.3,15.3,-1.0,8,-1000,0,0,0
2013-12-30,2429,2000,32150,16.35,16.35,15.8,15.8,0.0,2,-1000,0,0,0
2014-02-19,2429,34528,630754,17.95,18.9,17.95,18.9,-0.4,33,-13000,0,0,0
2014-05-20,2429,3154,62926,20.0,20.0,20.0,20.0,0.0,5,-154,0,0,0
2015-02-05,2429,10000,147650,13.75,15.6,13.75,15.6,0.0,8,-3000,0,0,0
2015-02-09,2429,1000,15000,15.0,15.0,15.0,15.0,-0.4,1,-1000,0,0,0
2015-02-24,2429,1011,15158,15.0,15.0,15.0,15.0,0.0,2,-1000,0,0,0
2015-03-16,2429,5337,82337,15.45,15.5,15.45,15.5,0.0,5,-2000,0,0,0
2015-03-19,2429,31055,484382,15.0,16.15,14.5,16.15,1.05,18,-4000,0,0,0
2015-03-20,2429,23000,373950,16.5,17.0,16.0,17.0,0.85,14,-3000,0,0,0
2015-03-25,2429,19008,342744,18.8,19.5,17.5,18.45,-0.35,16,-3000,0,0,0
2015-03-26,2429,13341,247123,19.0,19.4,18.0,18.8,0.35,17,-1000,0,0,0
2015-04-07,2429,5149,89829,17.05,18.2,17.05,17.85,-0.45,5,-2000,0,0,0
2015-04-08,2429,10030,169107,16.75,17.8,16.65,17.5,-0.35,6,-1000,0,0,0
2015-04-09,2429,8000,131150,16.3,17.05,16.3,17.05,-0.45,4,-1000,0,0,0
2015-04-15,2429,7001,113517,16.15,16.8,16.1,16.8,-0.5,7,-2000,0,0,0
2015-05-14,2429,6005,87922,15.4,15.4,14.45,14.45,-1.05,7,-1000,0,0,0
2015-05-19,2429,4000,58000,14.5,14.5,14.5,14.5,0.0,1,-4000,0,0,0
2015-05-29,2429,1000,14900,14.9,14.9,14.9,14.9,0.0,1,-1000,0,0,0
2015-06-15,2429,8007,117501,14.55,15.7,14.5,15.7,-0.15,8,-1000,0,0,0
2015-10-28,2429,7000,93150,13.2,14.4,13.1,14.4,0.1,7,-2000,0,0,0
2015-10-29,2429,2000,26350,13.2,13.2,13.15,13.15,-1.25,2,-2000,0,0,0
2015-11-06,2429,9000,119450,13.05,14.2,13.0,14.2,-0.2,8,-1000,0,0,0
2016-03-01,2429,3000,28520,9.52,9.52,9.5,9.5,0.0,3,-1000,0,0,0
2016-05-25,2429,3065,25853,8.18,8.96,8.18,8.96,0.0,5,-15,0,0,0
2016-05-31,2429,1000,9300,9.3,9.3,9.3,9.3,-1.0,1,-1000,0,0,0
2016-08-11,2429,109000,1427900,13.1,13.1,13.1,13.1,1.15,56,-2000,0,0,0
2016-09-07,2429,12000,198600,18.0,18.0,16.25,16.25,-1.75,11,0,0,0,0
2016-09-08,2429,16117,260101,16.25,16.25,15.9,15.9,-0.35,10,0,0,0,0
2016-09-10,2429,5000,76850,15.3,15.5,15.25,15.5,-0.3,5,0,0,0,0
2016-09-26,2429,5000,74450,15.0,15.0,14.85,14.9,-0.25,5,0,0,0,0
2016-09-29,2429,11021,172981,15.2,16.3,15.2,16.3,1.4,12,0,0,0,0
2016-10-06,2429,27620,510084,18.3,18.6,18.3,18.35,0.2,12,1000,0,0,0
2016-10-24,2429,16000,296150,19.3,19.3,18.1,18.1,-1.0,13,1000,0,0,0
2016-10-31,2429,5180,90042,17.4,17.4,17.4,17.4,0.2,5,-1000,0,0,0
2016-11-09,2429,7000,118000,17.05,17.05,16.3,17.05,-0.25,7,0,0,0,0
2016-11-16,2429,3000,47400,15.8,15.8,15.8,15.8,0.0,3,0,0,0,0
2016-12-08,2429,2274,36384,16.0,16.0,16.0,16.0,0.0,5,0,0,0,0
2016-12-19,2429,14008,233178,17.3,17.3,16.5,16.5,-1.0,11,2000,0,0,0
2016-12-23,2429,21060,351040,17.1,17.1,16.3,17.0,-0.1,14,3000,0,0,0
