date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-11-30,2438,165208,490643,2.97,2.97,2.97,2.97,-0.22,83,-4687,0,0,0
2013-07-02,2438,8351,29477,3.55,3.56,3.55,3.55,0.21,9,-585,0,0,0
2013-07-17,2438,39700,145883,3.78,3.8,3.56,3.56,-0.24,23,-19191,0,0,0
2013-09-13,2438,5915,18600,3.03,3.22,3.03,3.06,-0.17,13,-1298,0,0,0
2013-12-16,2438,2361,4895,2.08,2.08,2.08,2.08,-0.14,10,1,0,0,0
2014-02-06,2438,68292,192092,2.82,3.01,2.75,3.01,0.0,17,-6000,0,0,0
2014-04-07,2438,80149,387545,4.6,4.93,4.6,4.93,0.32,38,-19312,0,0,0
2014-05-23,2438,41031,280063,6.85,7.36,6.62,6.8,-0.1,30,-662,0,0,0
2014-11-21,2438,231453,2584579,12.15,12.15,10.6,10.7,0.0,112,17000,0,0,0
2014-11-24,2438,118597,1232809,10.3,10.55,10.3,10.35,-0.35,60,13000,0,0,0
2014-11-25,2438,53925,556458,10.15,10.5,10.15,10.35,0.0,48,8000,0,0,0
2014-12-12,2438,57183,589486,10.7,10.7,10.05,10.05,-0.45,29,-38000,0,0,0
2015-04-02,2438,157562,1946456,12.6,13.0,11.75,13.0,0.4,86,41000,0,0,0
2015-04-07,2438,397136,5513121,13.9,13.9,13.8,13.9,0.9,166,9000,0,0,0
2015-04-08,2438,1864884,27658036,14.85,14.85,14.4,14.85,0.95,634,111000,0,0,0
2015-04-09,2438,1254522,18808363,14.65,15.8,14.3,15.2,0.35,502,-38000,0,0,0
2015-04-10,2438,1185360,18936555,15.5,16.25,15.45,16.15,0.95,480,7000,0,0,0
2015-04-13,2438,1083025,18301143,16.5,17.15,16.35,16.85,0.7,510,16000,0,0,0
2015-04-14,2438,919659,15088701,16.85,17.3,15.7,16.4,-0.45,493,-1000,0,0,0
2015-04-15,2438,640187,10116204,15.9,16.5,15.3,15.4,-1.0,360,-17000,0,0,0
2015-04-16,2438,555903,8520136,15.2,15.75,14.9,15.6,0.2,323,-1000,0,0,0
2015-04-17,2438,439468,6593202,15.3,15.6,14.6,14.6,-1.0,244,-1000,0,0,0
2015-04-20,2438,577633,8079362,14.4,14.6,13.6,14.0,-0.6,234,2000,0,0,0
2015-04-21,2438,809729,10792158,14.35,14.35,13.05,13.05,-0.95,294,1076,0,0,0
2015-04-22,2438,423422,5356724,12.85,13.35,12.2,13.1,0.05,180,13000,0,0,0
2015-04-23,2438,200288,2607760,13.3,13.4,12.8,13.05,-0.05,110,17000,0,0,0
2015-04-24,2438,133032,1746966,13.35,13.35,13.05,13.1,0.05,76,-14000,0,0,0
2015-04-27,2438,228678,2995121,13.0,13.3,12.7,12.95,-0.15,109,8000,0,0,0
2015-04-28,2438,114803,1487521,12.9,13.15,12.9,12.95,0.0,81,9000,0,0,0
2015-04-29,2438,234658,3148346,13.0,13.7,13.0,13.4,0.45,162,39000,0,0,0
2015-04-30,2438,59655,793558,13.5,13.5,13.05,13.35,-0.05,53,15000,0,0,0
2015-05-05,2438,298838,3828994,12.95,13.15,12.4,13.15,0.15,104,-1000,0,0,0
2015-05-06,2438,174328,2311964,13.15,13.6,12.9,13.25,0.1,82,16000,0,0,0
2015-05-07,2438,155947,2018773,13.25,13.3,12.7,12.8,-0.45,74,10000,0,0,0
2015-05-08,2438,81854,1068369,13.0,13.2,12.95,13.05,0.25,48,5000,0,0,0
2015-05-11,2438,129395,1678985,13.0,13.45,12.8,13.05,0.0,63,22000,0,0,0
2015-05-12,2438,157812,2057956,13.3,13.3,12.95,13.1,0.05,71,-17000,0,0,0
2015-05-13,2438,68666,900520,13.1,13.2,13.1,13.2,0.1,42,0,0,0,0
