date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-05-02,2891,24683995,464430837,18.8,18.95,18.65,18.85,0.2,6196,8014674,736000,-772,-72
2012-05-03,2891,12920431,242408680,18.85,18.9,18.65,18.85,0.0,2886,4191353,1004537,-258,5
2012-05-04,2891,18483204,349085928,18.8,19.0,18.6,18.95,0.1,4088,5838430,293010,-688,-76
2012-05-07,2891,35826520,661353649,18.7,18.7,18.3,18.45,-0.5,4847,-10863138,300000,2035,-67
2012-05-08,2891,12908394,239298191,18.65,18.65,18.4,18.65,0.2,2928,1921927,-526000,-525,22
2012-05-09,2891,19086528,351488951,18.35,18.55,18.25,18.35,-0.3,3717,-1888162,1000000,-139,-176
2012-05-10,2891,19057730,354490077,18.55,18.7,18.45,18.65,0.3,3672,9966866,0,-1875,-60
2012-05-11,2891,17100449,314241847,18.65,18.65,18.2,18.45,-0.2,3801,-3554600,-17316,-441,-23
2012-05-14,2891,21007680,386380181,18.45,18.5,18.25,18.4,-0.05,1859,-569371,1274000,-857,-10
2012-05-15,2891,23262739,420464788,18.2,18.25,17.9,18.05,-0.35,4120,-3860806,1060000,377,142
2012-05-16,2891,47269013,830626500,18.0,18.1,17.0,17.3,-0.75,8436,-21642672,44000,2007,-547
2012-05-17,2891,60012093,1034075405,17.2,17.4,17.1,17.25,-0.05,9142,-35487904,1163407,6662,142
2012-05-18,2891,41835103,704509676,17.0,17.0,16.75,16.8,-0.45,8588,-15345111,28000,1829,-82
2012-05-21,2891,11017862,187082305,16.85,17.1,16.8,17.05,0.25,2771,-3176013,0,318,321
2012-05-22,2891,21487337,367203878,17.1,17.25,16.95,17.25,0.2,3818,-10869634,0,608,7
2012-05-23,2891,33235102,558240039,17.0,17.0,16.55,16.85,-0.4,5302,-16813981,-823000,-84,-294
2012-05-24,2891,78006271,1275986696,16.8,16.95,16.1,16.25,-0.6,11117,-36678000,-1731761,5675,171
2012-05-25,2891,40369633,651616883,16.25,16.25,16.05,16.1,-0.15,7182,-19776161,238000,2338,-289
2012-05-28,2891,31855136,515023191,16.1,16.3,15.95,16.3,0.2,5726,-10661919,-1661000,599,-54
