date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-05-02,2849,475000,6525600,13.8,13.85,13.5,13.85,0.45,212,209000,32000,-130,0
2012-05-03,2849,155499,2138209,13.8,13.85,13.6,13.8,-0.05,80,13000,16499,-38,0
2012-05-04,2849,294028,4028230,13.7,13.9,13.5,13.7,-0.1,136,-96000,-3000,25,0
2012-05-07,2849,490570,6538880,13.5,13.5,13.2,13.25,-0.45,237,-331000,0,71,0
2012-05-08,2849,216477,2880193,13.3,13.4,13.2,13.4,0.15,118,-64000,0,2,0
2012-05-09,2849,179991,2377781,13.2,13.35,13.1,13.3,-0.1,116,-46000,0,-29,0
2012-05-10,2849,113002,1493476,13.2,13.3,13.15,13.2,-0.1,52,0,0,5,5
2012-05-11,2849,392046,5054141,13.2,13.2,12.7,12.85,-0.35,158,-78000,0,-77,0
2012-05-14,2849,80683,1037837,12.95,12.95,12.8,12.8,-0.05,47,-11000,0,-20,0
2012-05-15,2849,324027,4077092,12.8,12.8,12.5,12.7,-0.1,143,16000,23000,-19,0
2012-05-16,2849,597975,7220950,12.65,12.65,11.85,12.0,-0.7,294,-340000,5000,50,0
2012-05-17,2849,391855,4714017,12.15,12.15,11.95,12.05,0.05,196,-37000,0,-87,-9
2012-05-18,2849,615809,7162383,11.9,11.9,11.45,11.7,-0.35,329,-164000,0,-65,0
2012-05-21,2849,335141,3971106,11.8,11.95,11.7,11.9,0.2,125,9000,0,5,0
2012-05-22,2849,359201,4341131,12.15,12.15,12.0,12.05,0.15,159,-153000,0,-17,1
2012-05-23,2849,412942,4831920,11.9,11.9,11.5,11.8,-0.25,278,-272000,0,65,9
2012-05-24,2849,215215,2517332,11.8,11.85,11.55,11.7,-0.1,84,47000,0,-25,0
2012-05-25,2849,507250,6028986,11.7,12.05,11.7,11.85,0.15,206,-33000,0,2,-3
2012-05-28,2849,383236,4624543,11.85,12.25,11.75,12.2,0.35,145,-34000,0,7,-9
2012-05-29,2849,544009,6711361,12.3,12.45,12.2,12.4,0.2,177,-47000,5000,91,1
2012-05-30,2849,474198,5735312,12.4,12.4,12.0,12.05,-0.35,279,-185000,-33596,40,0
2012-05-31,2849,385000,4575450,11.95,12.2,11.75,12.1,0.05,211,-12000,0,-11,0
2012-06-01,2849,269210,3236787,12.1,12.1,11.9,11.95,-0.15,103,63000,0,39,0
2012-06-04,2849,372505,4321154,11.5,11.7,11.5,11.65,-0.3,88,-5000,13000,-81,0
2012-06-05,2849,388001,4670762,11.8,12.15,11.7,12.1,0.45,128,69000,9000,-6,0
2012-06-06,2849,1080639,13682977,12.2,12.9,12.2,12.9,0.8,364,200000,0,270,-8
2012-06-07,2849,673572,8840671,13.2,13.3,12.9,12.9,0.0,224,-28000,0,51,-74
2012-06-08,2849,409816,5290643,13.0,13.05,12.75,12.95,0.05,149,78000,0,31,36
2012-06-11,2849,251000,3312950,13.05,13.3,13.05,13.2,0.25,113,34000,0,-62,10
2012-06-12,2849,257000,3419750,13.1,13.4,13.1,13.3,0.1,153,-32000,0,74,-13
2012-06-13,2849,253800,3378069,13.4,13.45,13.2,13.3,0.0,95,21000,-13000,49,1
2012-06-14,2849,282000,3776450,13.3,13.5,13.3,13.35,0.05,91,72000,-22000,-16,0
2012-06-15,2849,299064,3989843,13.4,13.45,13.2,13.35,0.0,120,10000,0,31,0
2012-06-18,2849,242036,3239185,13.35,13.55,13.25,13.3,-0.05,123,-7000,0,3,5
2012-06-19,2849,170042,2224897,13.25,13.25,12.9,13.0,-0.3,84,-19000,0,-18,9
2012-06-20,2849,150448,1964473,13.0,13.15,13.0,13.0,0.0,80,44000,0,-64,2
2012-06-21,2849,118159,1531839,13.0,13.15,12.85,12.95,-0.05,77,-1000,0,4,4
2012-06-22,2849,166000,2132250,12.8,13.0,12.7,12.8,-0.15,59,-14000,0,8,1
2012-06-25,2849,103000,1321500,12.8,12.95,12.8,12.8,0.0,51,15000,-35000,-17,8
2012-06-26,2849,108781,1388653,12.7,12.9,12.6,12.8,0.0,43,-11000,21439,-46,-1
2012-06-27,2849,122284,1571383,12.7,12.95,12.65,12.9,0.1,78,-29000,0,-12,0
2012-06-28,2849,71440,920191,13.05,13.05,12.8,12.8,-0.1,49,-17000,-12000,2,0
2012-06-29,2849,315228,4139547,12.7,13.3,12.7,13.25,0.45,199,126000,0,-7,-9
2012-07-02,2849,292231,3902317,13.4,13.45,13.25,13.35,0.1,180,62231,-5000,44,-2
2012-07-03,2849,150311,2010939,13.45,13.45,13.3,13.35,0.0,63,-24000,6000,-8,20
2012-07-04,2849,233033,3119335,13.4,13.5,13.3,13.4,0.05,90,-22000,0,41,0
2012-07-05,2849,210515,2793769,13.4,13.4,13.15,13.15,-0.25,90,-38000,0,3,15
2012-07-06,2849,176060,2303418,13.15,13.25,12.95,12.95,-0.2,116,-16000,0,-26,7
2012-07-09,2849,125000,1620600,13.0,13.1,12.85,12.9,-0.05,58,-8000,0,-41,0
