date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-05-02,2501,9243973,126957374,13.75,13.85,13.5,13.85,0.2,2081,828000,30000,411,95
2012-05-03,2501,5360769,73161266,13.85,13.9,13.5,13.55,-0.3,1198,-98000,-33676,389,-50
2012-05-04,2501,6803925,93267868,13.45,13.85,13.45,13.8,0.25,1532,397000,-3000,-50,68
2012-05-07,2501,3487876,47411785,13.5,13.7,13.5,13.5,-0.3,983,-200000,0,-219,30
2012-05-08,2501,2146961,29173371,13.65,13.7,13.5,13.55,0.05,677,401000,0,-166,34
2012-05-09,2501,1944493,26220702,13.45,13.6,13.4,13.45,-0.1,694,-122000,0,-504,-10
2012-05-10,2501,2548751,34713386,13.45,13.7,13.45,13.55,0.1,824,493000,0,-296,-38
2012-05-11,2501,4511875,61729847,13.65,13.75,13.6,13.7,0.15,1152,437000,0,338,-57
2012-05-14,2501,4376010,58612782,13.7,13.75,13.2,13.3,-0.4,1088,-604000,0,-193,50
2012-05-15,2501,3726449,48692451,13.1,13.2,12.95,13.2,-0.1,1009,219000,23000,-359,-21
2012-05-16,2501,2348357,30762371,13.2,13.25,13.0,13.0,-0.2,697,-77000,245000,-382,-55
2012-05-17,2501,2051971,27005815,13.1,13.25,13.1,13.2,0.2,607,49000,0,-311,117
2012-05-18,2501,4236922,54448799,13.0,13.0,12.7,12.7,-0.5,1173,-505000,0,-479,-46
2012-05-21,2501,3420451,43753367,12.7,12.9,12.7,12.8,0.1,670,306000,0,-990,-164
2012-05-22,2501,2846028,37080565,12.9,13.15,12.85,13.1,0.3,791,-127000,0,302,-22
2012-05-23,2501,1916129,24631594,13.05,13.05,12.8,12.8,-0.3,647,-11000,-6000,-222,85
2012-05-24,2501,4582243,57812710,12.85,12.95,12.4,12.4,-0.4,894,354000,0,-635,-10
2012-05-25,2501,2568814,31893969,12.5,12.55,12.3,12.3,-0.1,653,129000,-300000,-462,-202
2012-05-28,2501,2359859,29471875,12.3,12.7,12.25,12.6,0.3,685,317000,0,-376,62
2012-05-29,2501,5449509,70961117,12.7,13.3,12.7,13.1,0.5,1330,-40000,6000,305,92
2012-05-30,2501,1739234,22545292,13.05,13.1,12.85,12.9,-0.2,559,-262000,19548,-8,7
2012-05-31,2501,2579165,33320617,12.8,13.15,12.7,13.15,0.25,729,664000,0,50,-145
2012-06-01,2501,3824802,49203924,13.0,13.05,12.7,12.8,-0.35,828,1574000,0,-208,-65
2012-06-04,2501,3810014,47026569,12.4,12.5,12.2,12.3,-0.5,1063,1040000,16000,-523,92
2012-06-05,2501,2586547,33030467,12.75,12.9,12.6,12.75,0.45,771,786000,12000,-507,-207
2012-06-06,2501,2186615,28305819,13.1,13.1,12.8,12.9,0.15,657,774000,0,226,-30
2012-06-07,2501,2419221,31647124,13.2,13.2,12.95,12.95,0.05,749,658000,0,-393,104
2012-06-08,2501,1768015,22769289,13.0,13.1,12.75,12.8,-0.15,559,222000,89000,-566,-25
2012-06-11,2501,1588605,20709681,13.0,13.1,13.0,13.0,0.2,424,149000,35000,138,25
2012-06-12,2501,1575000,20451000,12.75,13.15,12.75,13.1,0.1,714,-27000,111000,-103,-30
2012-06-13,2501,1462867,19114011,13.2,13.2,13.0,13.0,-0.1,448,94000,-110000,-3,1
2012-06-14,2501,1210149,15724593,13.05,13.1,12.95,12.95,-0.05,384,191000,-141000,71,16
2012-06-15,2501,3400527,44228597,13.0,13.2,12.85,12.85,-0.1,885,-594035,0,-92,75
2012-06-18,2501,2706806,35493978,13.15,13.2,13.05,13.05,0.2,706,69000,0,-150,25
2012-06-19,2501,3904096,51622566,13.2,13.35,13.1,13.25,0.2,967,1541000,0,6,82
2012-06-20,2501,2369419,31696114,13.35,13.45,13.3,13.45,0.2,581,25000,0,33,139
2012-06-21,2501,2081134,27858033,13.4,13.5,13.3,13.4,-0.05,635,-229000,0,29,66
2012-06-22,2501,1685688,22345263,13.15,13.35,13.15,13.3,-0.1,428,-118000,0,76,101
2012-06-25,2501,4724633,63531411,13.25,13.6,13.25,13.45,0.15,1171,360000,-27000,-179,89
2012-06-26,2501,3341702,44786982,13.55,13.6,13.3,13.35,-0.1,577,185000,-23821,-52,132
2012-06-27,2501,2027028,27145719,13.35,13.5,13.3,13.3,-0.05,473,49000,0,-417,121
2012-06-28,2501,2491408,33296602,13.3,13.5,13.25,13.3,0.0,499,109070,-10000,-312,0
2012-06-29,2501,4695422,63272046,13.45,13.55,13.3,13.5,0.2,811,1470069,0,-616,0
2012-07-02,2501,15469177,213799047,13.5,13.8,13.5,13.65,0.15,1705,-76000,-5000,-1800,0
2012-07-03,2501,6481178,82354848,12.7,12.8,12.65,12.7,0.0,1226,30000,6000,1183,-147
2012-07-04,2501,5523955,70122855,12.8,12.8,12.65,12.7,0.0,645,-75000,0,227,93
2012-07-05,2501,2649504,33357198,12.7,12.75,12.5,12.5,-0.2,690,124000,-1000,-154,-14
