date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-05-02,2497,1486399,54582363,35.85,37.3,35.85,36.25,0.4,685,-55000,-265000,309,67
2012-05-03,2497,1122410,41350020,36.25,37.2,36.25,37.0,0.75,524,-8000,100000,-104,-44
2012-05-04,2497,2089150,79762192,36.95,39.0,36.6,38.7,1.7,1084,12000,140000,229,-138
2012-05-07,2497,1776049,69282474,38.5,39.7,38.2,38.45,-0.25,948,-108000,200000,132,-78
2012-05-08,2497,1317587,49478885,38.75,38.8,36.1,37.8,-0.65,669,-5000,370000,-343,54
2012-05-09,2497,371598,13845375,37.0,37.65,37.0,37.05,-0.75,234,-29000,0,-14,12
2012-05-10,2497,358448,13296385,37.8,37.8,36.7,37.0,-0.05,210,1000,0,-3,16
2012-05-11,2497,352587,12982278,37.4,37.4,36.6,36.6,-0.4,194,-13000,0,-95,47
2012-05-14,2497,455137,16479026,36.6,37.0,35.8,35.8,-0.8,231,8000,0,-116,37
2012-05-15,2497,564524,20296814,35.6,36.5,35.55,36.4,0.6,284,34000,0,18,3
2012-05-16,2497,428300,15294464,36.5,36.5,35.2,35.2,-1.2,212,-14000,0,-150,25
2012-05-17,2497,553058,19476194,35.5,36.2,34.7,35.2,0.0,268,17000,49000,-84,-56
2012-05-18,2497,1063446,36202811,35.0,35.0,33.25,33.25,-1.95,381,-25000,0,-220,100
2012-05-21,2497,752670,25562594,33.2,34.9,33.1,33.65,0.4,450,72000,-20000,-51,-10
2012-05-22,2497,453499,15551766,34.45,34.55,34.0,34.25,0.6,209,1000,120000,-31,-51
2012-05-23,2497,313000,10680250,34.25,34.7,33.8,34.2,-0.05,173,-17000,-14000,5,50
2012-05-24,2497,442639,14999167,34.5,34.6,33.25,33.25,-0.95,217,-51000,0,73,-7
2012-05-25,2497,504000,16728050,33.25,33.8,32.75,33.0,-0.25,228,-8000,0,-60,-49
2012-05-28,2497,1509397,47255091,33.0,33.1,30.7,31.0,-2.0,534,24000,-395000,-179,53
2012-05-29,2497,1236531,40175100,31.0,33.15,31.0,33.15,2.15,660,71000,238000,-41,-46
2012-05-30,2497,920049,31139846,33.8,34.15,33.3,33.8,0.65,529,-62000,112000,78,-92
2012-05-31,2497,406000,13403500,33.6,33.6,32.5,33.0,-0.8,237,-23000,0,-54,59
2012-06-01,2497,276001,8912181,33.45,33.45,31.2,31.55,-1.45,174,17000,0,-81,23
2012-06-04,2497,791000,23390900,30.0,30.7,29.35,29.4,-2.15,291,0,0,-233,41
2012-06-05,2497,502000,15481650,30.1,31.45,29.7,30.7,1.3,299,48000,100000,79,-113
2012-06-06,2497,341331,10549361,31.5,31.5,30.4,31.0,0.3,183,-11000,74000,38,-18
2012-06-07,2497,229535,7154921,31.9,31.9,30.65,30.75,-0.25,129,-2000,4000,49,-16
2012-06-08,2497,446000,13762350,30.9,31.45,30.55,30.7,-0.05,155,-13000,89000,-22,-21
2012-06-11,2497,289135,8919287,30.8,31.3,30.5,30.6,-0.1,139,-3000,-120000,66,7
2012-06-12,2497,429000,12892950,30.0,30.5,29.65,29.8,-0.8,152,8000,37000,-59,2
2012-06-13,2497,299267,8985906,29.9,30.45,29.85,30.0,0.2,138,5000,-137000,62,15
2012-06-14,2497,128000,3845600,30.05,30.25,29.7,30.0,0.0,71,42000,19000,-29,12
2012-06-15,2497,786041,24865766,30.45,32.1,30.0,32.1,2.1,340,27000,176000,154,-10
2012-06-18,2497,1694450,56989346,32.8,34.25,32.5,33.7,1.6,759,1000,460000,-154,-55
2012-06-19,2497,626499,21163766,33.4,34.25,33.1,33.55,-0.15,283,-44000,150000,12,-5
2012-06-20,2497,770149,26190613,34.2,34.2,33.6,33.8,0.25,324,8000,159000,44,9
2012-06-21,2497,260045,8750450,33.8,34.15,33.35,33.55,-0.25,156,-17000,0,-15,10
2012-06-22,2497,181327,6008274,32.6,33.8,32.6,33.1,-0.45,101,3000,0,10,28
2012-06-25,2497,171049,5684861,33.1,33.5,33.05,33.05,-0.05,94,-3000,0,49,-11
2012-06-26,2497,263235,8541689,32.3,33.0,32.15,32.5,-0.55,112,-16000,82000,-61,15
