date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-05-02,2360,800578,53874379,66.6,68.1,66.6,67.5,0.9,568,-224200,3000,74,46
2012-05-03,2360,502201,34344725,67.9,69.0,67.6,68.7,1.2,335,146000,-1503,-15,-9
2012-05-04,2360,1053559,73992672,69.3,71.2,69.0,70.8,2.1,685,491300,209000,-145,-1
2012-05-07,2360,209882,14635322,70.8,70.8,69.3,69.8,-1.0,174,-12000,0,-16,1
2012-05-08,2360,140388,9795641,69.9,69.9,69.1,69.8,0.0,109,-10000,74000,-16,-2
2012-05-09,2360,145831,10058023,69.5,69.5,68.6,68.9,-0.9,122,-50000,0,10,6
2012-05-10,2360,303366,20706641,68.6,69.0,67.8,68.0,-0.9,225,-80000,0,16,4
2012-05-11,2360,131724,8916832,67.2,68.4,67.2,68.1,0.1,103,15000,0,-5,9
2012-05-14,2360,208000,14342200,68.2,69.3,67.9,69.0,0.9,172,77000,39000,-20,-9
2012-05-15,2360,180356,12237443,68.6,68.6,67.3,68.5,-0.5,115,11000,2000,7,-4
2012-05-16,2360,176682,11955788,68.5,68.5,67.0,67.0,-1.5,147,-33520,0,8,1
2012-05-17,2360,267040,17848155,67.5,67.5,66.3,66.4,-0.6,249,-206000,0,49,12
2012-05-18,2360,669514,42801716,66.0,66.1,62.0,62.0,-4.4,481,-209000,-40000,-5,-23
2012-05-21,2360,562814,34205981,61.3,62.5,60.2,60.3,-1.7,400,-137000,0,43,16
2012-05-22,2360,363401,22255679,60.9,61.6,60.7,61.4,1.1,323,-61000,0,-10,20
2012-05-23,2360,533378,32440358,61.1,61.3,60.0,61.2,-0.2,249,11378,-51000,9,5
2012-05-24,2360,186983,11428672,61.2,61.5,60.7,60.8,-0.4,69,24000,0,-13,3
2012-05-25,2360,322130,19464325,60.9,60.9,60.2,60.4,-0.4,128,9000,-2000,-3,-3
2012-05-28,2360,75275,4581757,60.4,61.7,60.3,61.7,1.3,71,44000,0,-37,1
2012-05-29,2360,268135,17116953,62.2,64.6,62.0,64.5,2.8,222,146000,1000,-59,11
2012-05-30,2360,426406,27831612,64.3,66.8,63.8,65.8,1.3,379,121000,1198,-31,2
2012-05-31,2360,296742,19712187,65.8,67.2,65.3,67.1,1.3,263,129000,0,0,-19
2012-06-01,2360,230061,15324393,67.1,67.1,66.0,66.2,-0.9,204,144178,0,-37,-17
