date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
2012-05-02,3028,3497233,80800266,22.45,23.4,22.45,23.15,0.75,1372,171000,2000,199,1
2012-05-03,3028,971110,22401107,23.15,23.25,22.9,23.25,0.1,465,4000,0,207,0
2012-05-04,3028,1414600,32847888,23.15,23.35,23.05,23.15,-0.1,599,72000,-1000,-252,0
2012-05-07,3028,703717,16163410,22.85,23.15,22.75,23.1,-0.05,382,-8000,0,2,3
2012-05-08,3028,641238,14797945,23.1,23.3,22.95,23.1,0.0,282,-16000,0,5,0
2012-05-09,3028,708759,16201591,22.8,23.0,22.7,22.8,-0.3,365,-63000,0,-30,0
2012-05-10,3028,519421,11813439,22.8,22.9,22.7,22.7,-0.1,264,-20000,0,-59,0
2012-05-11,3028,829200,18604270,22.75,22.75,22.35,22.35,-0.35,388,-46000,0,-240,0
2012-05-14,3028,437753,9756591,22.35,22.4,22.15,22.3,-0.05,213,3000,0,-36,0
2012-05-15,3028,353220,7872592,22.25,22.4,22.1,22.35,0.05,184,-2000,2000,-5,0
2012-05-16,3028,443500,9931247,22.35,22.6,22.25,22.25,-0.1,233,-21000,0,-58,0
2012-05-17,3028,330500,7394100,22.4,22.5,22.25,22.4,0.15,195,53100,0,14,0
2012-05-18,3028,1149250,25347825,22.2,22.3,21.85,22.0,-0.4,511,-44000,-226000,-200,2
2012-05-21,3028,313410,6942120,22.2,22.25,22.05,22.1,0.1,140,-37000,0,-42,0
2012-05-22,3028,505269,11255152,22.3,22.45,22.1,22.45,0.35,198,-5000,0,149,-2
2012-05-23,3028,291057,6466525,22.3,22.35,22.1,22.25,-0.2,126,-37000,-1000,-29,0
2012-05-24,3028,651120,14370850,22.2,22.3,21.9,22.1,-0.15,296,-14000,0,37,2
2012-05-25,3028,447122,9819502,22.1,22.1,21.85,22.0,-0.1,197,-7000,0,-43,0
2012-05-29,3028,1121819,25177107,22.15,22.55,22.15,22.5,0.4,355,90000,0,-204,0
2012-05-30,3028,344612,7698146,22.5,22.5,22.2,22.4,-0.1,177,25000,0,35,0
2012-05-31,3028,261600,5833569,22.25,22.5,22.2,22.5,0.1,127,9000,0,-19,-1
2012-06-01,3028,427214,9518899,22.3,22.5,22.15,22.15,-0.35,157,-35000,0,-7,0
2012-06-04,3028,1038349,22346619,21.8,21.8,21.2,21.4,-0.75,497,0,-124000,-135,0
2012-06-05,3028,712762,15585114,21.7,22.0,21.7,21.85,0.45,324,147000,-158000,243,0
2012-06-06,3028,406500,8931799,22.0,22.1,21.85,22.05,0.2,170,81000,0,48,-1
2012-06-07,3028,315001,6971722,22.2,22.25,22.05,22.15,0.1,181,92000,0,-23,0
2012-06-08,3028,303200,6687080,22.1,22.15,21.95,22.05,-0.1,177,82000,0,0,1
2012-06-11,3028,1340042,29167916,22.15,22.15,21.45,21.75,-0.3,511,5000,0,323,0
2012-06-12,3028,524000,11291200,21.6,21.7,21.45,21.7,-0.05,207,15000,0,138,0
2012-06-13,3028,386379,8416938,21.7,21.9,21.7,21.85,0.15,238,121000,-24000,8,0
2012-06-14,3028,277722,6058509,21.85,21.9,21.7,21.85,0.0,162,70000,-23000,-23,0
2012-06-15,3028,665390,14632336,21.85,22.15,21.7,22.0,0.15,349,197000,0,-56,-1
2012-06-18,3028,950913,21309857,22.2,22.55,22.1,22.4,0.4,352,129000,0,-35,1
2012-06-19,3028,235606,5250383,22.35,22.4,22.2,22.35,-0.05,146,54000,0,6,1
2012-06-20,3028,430125,9640812,22.4,22.5,22.35,22.4,0.05,183,89000,0,-4,0
2012-06-21,3028,333001,7411272,22.4,22.4,22.2,22.25,-0.15,128,0,0,-86,0
2012-06-22,3028,372150,8244574,22.05,22.3,22.05,22.3,0.05,189,55000,0,-175,-4
2012-06-25,3028,278144,6195496,22.3,22.4,22.1,22.3,0.0,116,1000,0,-76,-1
2012-06-26,3028,469402,10397914,22.2,22.3,22.05,22.1,-0.2,199,32000,0,-61,0
2012-06-27,3028,156265,3459182,22.1,22.25,22.0,22.1,0.0,81,-2000,0,1,0
2012-06-28,3028,217846,4829978,22.1,22.25,22.1,22.1,0.0,115,54000,0,31,0
2012-06-29,3028,414990,9194228,22.25,22.25,22.1,22.2,0.1,192,107000,0,-222,-1
2012-07-02,3028,474904,10597459,22.45,22.45,22.25,22.3,0.1,180,25000,0,-83,0
2012-07-03,3028,1229353,27698576,22.4,22.7,22.35,22.6,0.3,481,83000,0,-68,0
2012-07-04,3028,1448198,33145841,22.8,23.0,22.65,22.9,0.3,511,37000,0,1,-10
2012-07-05,3028,705175,16098875,22.9,22.95,22.75,22.85,-0.05,273,0,-1000,24,6
2012-07-06,3028,572398,13004733,22.8,22.85,22.65,22.7,-0.15,240,26000,0,48,0
2012-07-09,3028,472500,10738900,22.7,22.8,22.65,22.65,-0.05,235,86000,0,23,2
2012-07-10,3028,406421,9197396,22.6,22.75,22.55,22.55,-0.1,226,57000,0,-46,1
2012-07-11,3028,1061879,23747526,22.45,22.5,22.3,22.4,-0.15,405,81000,0,78,1
2012-07-12,3028,968324,21569040,22.4,22.45,22.2,22.3,-0.1,365,55000,0,-93,0
2012-07-13,3028,1108308,24543153,22.3,22.3,22.05,22.1,-0.2,482,64000,0,-68,0
2012-07-16,3028,2428064,52988449,21.5,22.0,21.5,21.9,-0.2,841,36000,0,-399,0
